participant,age,first_trial,door,object,response
20,22,no_cost,low_cost,chair,leave
20,22,no_cost,no_cost,plant,leave
21,39,no_cost,low_cost,plant,leave
21,39,no_cost,no_cost,cinderblocks,enter
22,36,no_cost,low_cost,chair,leave
22,36,no_cost,no_cost,plant,leave
23,25,no_cost,low_cost,chair,leave
23,25,no_cost,no_cost,plant,leave
24,24,no_cost,low_cost,cinderblocks,leave
24,24,no_cost,no_cost,chair,enter
25,35,no_cost,low_cost,plant,leave
25,35,no_cost,no_cost,chair,enter
26,22,no_cost,low_cost,chair,leave
26,22,no_cost,no_cost,cinderblocks,enter
27,24,low_cost,low_cost,chair,leave
27,24,low_cost,no_cost,cinderblocks,enter
28,22,low_cost,low_cost,cinderblocks,leave
28,22,low_cost,no_cost,plant,enter
29,18,low_cost,low_cost,plant,enter
29,18,low_cost,no_cost,chair,enter
30,41,low_cost,low_cost,cinderblocks,leave
30,41,low_cost,no_cost,plant,enter
31,60,low_cost,low_cost,chair,leave
31,60,low_cost,no_cost,cinderblocks,enter
32,25,low_cost,low_cost,cinderblocks,leave
32,25,low_cost,no_cost,chair,enter
33,20,low_cost,low_cost,cinderblocks,leave
33,20,low_cost,no_cost,chair,enter
34,27,low_cost,low_cost,plant,leave
34,27,low_cost,no_cost,cinderblocks,leave
35,28,low_cost,low_cost,cinderblocks,leave
35,28,low_cost,no_cost,chair,leave
36,20,low_cost,low_cost,plant,leave
36,20,low_cost,no_cost,cinderblocks,leave
37,30,low_cost,low_cost,chair,leave
37,30,low_cost,no_cost,plant,enter
38,44,no_cost,low_cost,chair,leave
38,44,no_cost,no_cost,cinderblocks,enter
39,59,low_cost,low_cost,plant,leave
39,59,low_cost,no_cost,cinderblocks,enter
40,50,no_cost,low_cost,chair,enter
40,50,no_cost,no_cost,cinderblocks,enter
41,28,no_cost,low_cost,cinderblocks,enter
41,28,no_cost,no_cost,plant,enter
42,25,no_cost,low_cost,chair,enter
42,25,no_cost,no_cost,cinderblocks,enter
43,45,no_cost,low_cost,cinderblocks,leave
43,45,no_cost,no_cost,plant,enter
44,24,no_cost,low_cost,plant,leave
44,24,no_cost,no_cost,chair,enter
45,19,no_cost,low_cost,cinderblocks,leave
45,19,no_cost,no_cost,plant,enter
46,33,low_cost,low_cost,cinderblocks,leave
46,33,low_cost,no_cost,plant,enter
47,18,no_cost,low_cost,plant,leave
47,18,no_cost,no_cost,chair,enter
48,17,low_cost,low_cost,plant,leave
48,17,low_cost,no_cost,chair,enter
49,19,low_cost,low_cost,chair,leave
49,19,low_cost,no_cost,cinderblocks,leave
72,35,low_cost,low_cost,plant,leave
72,35,low_cost,no_cost,cinderblocks,enter
73,27,low_cost,low_cost,cinderblocks,leave
73,27,low_cost,no_cost,chair,enter
74,27,low_cost,low_cost,chair,leave
74,27,low_cost,no_cost,plant,enter
75,23,low_cost,low_cost,plant,leave
75,23,low_cost,no_cost,cinderblocks,enter
76,27,low_cost,low_cost,cinderblocks,leave
76,27,low_cost,no_cost,chair,leave
77,31,low_cost,low_cost,chair,leave
77,31,low_cost,no_cost,plant,enter
78,35,low_cost,low_cost,plant,leave
78,35,low_cost,no_cost,cinderblocks,enter
79,17,no_cost,low_cost,plant,leave
79,17,no_cost,no_cost,chair,enter
82,55,no_cost,low_cost,cinderblocks,leave
82,55,no_cost,no_cost,plant,enter
84,24,no_cost,low_cost,chair,leave
84,24,no_cost,no_cost,cinderblocks,leave
85,27,no_cost,low_cost,cinderblocks,leave
85,27,no_cost,no_cost,plant,leave
86,46,no_cost,low_cost,plant,leave
86,46,no_cost,no_cost,chair,enter
87,26,no_cost,low_cost,chair,leave
87,26,no_cost,no_cost,cinderblocks,enter
88,20,no_cost,low_cost,cinderblocks,leave
88,20,no_cost,no_cost,plant,enter
89,19,low_cost,low_cost,plant,leave
89,19,low_cost,no_cost,chair,enter
90,32,no_cost,low_cost,chair,leave
90,32,no_cost,no_cost,cinderblocks,leave
91,50,low_cost,low_cost,cinderblocks,leave
91,50,low_cost,no_cost,plant,leave
92,25,no_cost,low_cost,plant,leave
92,25,no_cost,no_cost,chair,enter
93,15,low_cost,low_cost,chair,leave
93,15,low_cost,no_cost,cinderblocks,leave
94,17,no_cost,low_cost,cinderblocks,leave
94,17,no_cost,no_cost,plant,leave
95,26,low_cost,low_cost,plant,leave
95,26,low_cost,no_cost,chair,enter
97,37,no_cost,low_cost,cinderblocks,leave
97,37,no_cost,no_cost,plant,enter
98,70,low_cost,low_cost,plant,enter
98,70,low_cost,no_cost,chair,enter
100,78,no_cost,low_cost,cinderblocks,leave
100,78,no_cost,no_cost,plant,leave
101,20,low_cost,low_cost,chair,enter
101,20,low_cost,no_cost,cinderblocks,enter
102,27,low_cost,low_cost,plant,leave
102,27,low_cost,no_cost,chair,enter
103,32,no_cost,low_cost,chair,leave
103,32,no_cost,no_cost,cinderblocks,leave
104,40,low_cost,low_cost,cinderblocks,leave
104,40,low_cost,no_cost,plant,enter
105,60,no_cost,low_cost,plant,leave
105,60,no_cost,no_cost,chair,leave
107,33,no_cost,low_cost,cinderblocks,leave
107,33,no_cost,no_cost,plant,leave
108,43,low_cost,low_cost,plant,leave
108,43,low_cost,no_cost,chair,enter
109,38,no_cost,low_cost,chair,leave
109,38,no_cost,no_cost,cinderblocks,enter
110,40,low_cost,low_cost,cinderblocks,leave
110,40,low_cost,no_cost,plant,enter
111,68,no_cost,low_cost,plant,leave
111,68,no_cost,no_cost,chair,enter
113,18,no_cost,low_cost,cinderblocks,enter
113,18,no_cost,no_cost,plant,enter
114,32,low_cost,low_cost,plant,enter
114,32,low_cost,no_cost,chair,enter
115,14,no_cost,low_cost,chair,leave
115,14,no_cost,no_cost,cinderblocks,leave
116,23,low_cost,low_cost,cinderblocks,leave
116,23,low_cost,no_cost,plant,leave
117,40,no_cost,low_cost,plant,leave
117,40,no_cost,no_cost,chair,enter
118,19,low_cost,low_cost,chair,leave
118,19,low_cost,no_cost,cinderblocks,enter
119,60,no_cost,low_cost,cinderblocks,leave
119,60,no_cost,no_cost,plant,enter
120,24,low_cost,low_cost,plant,leave
120,24,low_cost,no_cost,chair,leave
122,24,no_cost,low_cost,chair,leave
122,24,no_cost,no_cost,cinderblocks,leave
123,25,low_cost,low_cost,cinderblocks,leave
123,25,low_cost,no_cost,plant,enter
124,17,no_cost,low_cost,plant,leave
124,17,no_cost,no_cost,chair,leave
125,17,low_cost,low_cost,chair,leave
125,17,low_cost,no_cost,cinderblocks,enter
126,15,no_cost,low_cost,cinderblocks,leave
126,15,no_cost,no_cost,plant,enter
127,15,low_cost,low_cost,plant,leave
127,15,low_cost,no_cost,chair,enter
128,70,no_cost,low_cost,chair,leave
128,70,no_cost,no_cost,cinderblocks,enter
129,27,low_cost,low_cost,cinderblocks,leave
129,27,low_cost,no_cost,plant,leave
130,19,no_cost,low_cost,plant,enter
130,19,no_cost,no_cost,chair,enter
132,16,no_cost,low_cost,cinderblocks,leave
132,16,no_cost,no_cost,plant,leave
133,18,low_cost,low_cost,plant,leave
133,18,low_cost,no_cost,chair,enter
135,34,low_cost,low_cost,cinderblocks,leave
135,34,low_cost,no_cost,plant,enter
137,18,low_cost,low_cost,chair,leave
137,18,low_cost,no_cost,cinderblocks,enter
139,39,low_cost,low_cost,chair,leave
139,39,low_cost,no_cost,plant,enter
140,45,no_cost,low_cost,cinderblocks,enter
140,45,no_cost,no_cost,chair,leave
141,41,low_cost,low_cost,plant,leave
141,41,low_cost,no_cost,cinderblocks,leave
142,48,low_cost,low_cost,chair,leave
142,48,low_cost,no_cost,plant,leave
143,35,no_cost,low_cost,cinderblocks,leave
143,35,no_cost,no_cost,chair,leave
145,36,low_cost,low_cost,chair,leave
145,36,low_cost,no_cost,plant,enter
146,71,no_cost,low_cost,cinderblocks,leave
146,71,no_cost,no_cost,chair,enter
147,49,low_cost,low_cost,plant,leave
147,49,low_cost,no_cost,cinderblocks,leave
148,63,no_cost,low_cost,chair,leave
148,63,no_cost,no_cost,plant,enter
149,30,low_cost,low_cost,cinderblocks,leave
149,30,low_cost,no_cost,chair,leave
151,27,low_cost,low_cost,chair,enter
151,27,low_cost,no_cost,plant,enter
152,34,no_cost,low_cost,cinderblocks,leave
152,34,no_cost,no_cost,chair,enter
153,25,low_cost,low_cost,plant,leave
153,25,low_cost,no_cost,cinderblocks,enter
154,52,no_cost,low_cost,chair,leave
154,52,no_cost,no_cost,plant,enter
155,18,low_cost,low_cost,cinderblocks,leave
155,18,low_cost,no_cost,chair,enter
156,26,no_cost,low_cost,plant,leave
156,26,no_cost,no_cost,cinderblocks,enter
157,51,low_cost,low_cost,chair,leave
157,51,low_cost,no_cost,plant,enter
158,16,no_cost,low_cost,cinderblocks,enter
158,16,no_cost,no_cost,chair,enter
159,30,low_cost,low_cost,plant,leave
159,30,low_cost,no_cost,cinderblocks,enter
160,37,no_cost,low_cost,chair,leave
160,37,no_cost,no_cost,plant,enter
162,53,no_cost,low_cost,plant,leave
162,53,no_cost,no_cost,cinderblocks,leave
164,70,no_cost,low_cost,cinderblocks,leave
164,70,no_cost,no_cost,chair,enter
165,70,low_cost,low_cost,plant,leave
165,70,low_cost,no_cost,cinderblocks,enter
166,60,no_cost,low_cost,chair,leave
166,60,no_cost,no_cost,plant,enter
167,16,low_cost,low_cost,cinderblocks,enter
167,16,low_cost,no_cost,chair,leave
168,40,low_cost,low_cost,plant,leave
168,40,low_cost,no_cost,cinderblocks,enter
169,18,no_cost,low_cost,chair,leave
169,18,no_cost,no_cost,plant,enter
170,25,low_cost,low_cost,cinderblocks,enter
170,25,low_cost,no_cost,chair,enter
171,25,no_cost,low_cost,plant,enter
171,25,no_cost,no_cost,cinderblocks,enter
172,23,low_cost,low_cost,chair,leave
172,23,low_cost,no_cost,plant,enter
173,28,no_cost,low_cost,cinderblocks,leave
173,28,no_cost,no_cost,chair,leave
174,49,low_cost,low_cost,plant,enter
174,49,low_cost,no_cost,cinderblocks,leave
175,23,no_cost,low_cost,chair,leave
175,23,no_cost,no_cost,plant,enter
176,24,low_cost,low_cost,cinderblocks,leave
176,24,low_cost,no_cost,chair,enter
429,48,low_cost,low_cost,chair,leave
429,48,low_cost,no_cost,plant,enter
431,57,low_cost,low_cost,chair,enter
431,57,low_cost,no_cost,plant,leave
432,50,low_cost,low_cost,chair,leave
432,50,low_cost,no_cost,plant,enter
434,25,low_cost,low_cost,cinderblocks,leave
434,25,low_cost,no_cost,chair,enter
435,16,low_cost,low_cost,cinderblocks,leave
435,16,low_cost,no_cost,plant,enter
436,29,low_cost,low_cost,cinderblocks,leave
436,29,low_cost,no_cost,plant,enter
437,21,low_cost,low_cost,plant,enter
437,21,low_cost,no_cost,chair,leave
438,30,no_cost,low_cost,cinderblocks,leave
438,30,no_cost,no_cost,chair,enter
439,29,no_cost,low_cost,cinderblocks,leave
439,29,no_cost,no_cost,chair,enter
440,52,no_cost,low_cost,plant,leave
440,52,no_cost,no_cost,chair,leave
441,19,no_cost,low_cost,chair,leave
441,19,no_cost,no_cost,cinderblocks,enter
444,62,no_cost,low_cost,chair,leave
444,62,no_cost,no_cost,cinderblocks,leave
446,15,no_cost,low_cost,plant,enter
446,15,no_cost,no_cost,cinderblocks,leave
447,21,no_cost,low_cost,chair,leave
447,21,no_cost,no_cost,plant,enter
